Company,Symbol,companyLow,charLength,companyFinal
Medical Transcription Billing Corp.  11% Series A Cumulative Redeemable Perpetual Preferred Stock,MTBCP,medical transcription billing corp.  11% series a cumulative redeemable perpetual preferred stock,12,medical transcription billing
MediciNova ,MNOV,medicinova ,1,medicinova
Medidata Solutions ,MDSO,medidata solutions ,2,medidata solutions
Medigus .  American Depositary Share,MDGS,medigus .  american depositary share,5,medigus .
Medivation ,MDVN,medivation ,1,medivation
Mediware Info. Systems (Inactive),MEDW,mediware info. systems (inactive),4,mediware info. systems
Mediwound ,MDWD,mediwound ,1,mediwound
Medovex Corp,MDVXU,medovex corp,2,medovex corp
Medovex Corp.,MDVX,medovex corp.,2,medovex corp.
Medpace Holdings ,MEDP,medpace holdings ,2,medpace holdings
Meet Group ,MEET,meet group ,2,meet group
Melco Resorts & Entertainment (ADR),MLCO,melco resorts & entertainment (adr),5,melco resorts &
Melinta Therapeutics ,RIBX,melinta therapeutics ,2,melinta therapeutics
Mellanox Technologies .,MLNX,mellanox technologies .,3,mellanox technologies .
Melrose Bancorp ,MELR,melrose bancorp ,2,melrose bancorp
Memorial Production Partners LP,MEMP,memorial production partners lp,4,memorial production partners
Mentor Graphics Corp,MENT,mentor graphics corp,3,mentor graphics corp
Mercadolibre ,MELI,mercadolibre ,1,mercadolibre
Mercantile Bank Corp.,MBWM,mercantile bank corp.,3,mercantile bank corp.
Mercer International ,MERC,mercer international ,2,mercer international
Merchants Bancshares,MBVT,merchants bancshares,2,merchants bancshares
Mercury Commercial Electronics  (Inactive),NOIZ,mercury commercial electronics  (inactive),4,mercury commercial electronics
Mercury Systems ,MRCY,mercury systems ,2,mercury systems
Merge Healthcare ,MRGE,merge healthcare ,2,merge healthcare
Mergeworthrx Corp (Inactive),MWRX,mergeworthrx corp (inactive),3,mergeworthrx corp (inactive)
Meridian Bancorp ,EBSB,meridian bancorp ,2,meridian bancorp
Meridian Bioscience ,VIVO,meridian bioscience ,2,meridian bioscience
Meridian Waste Solutions ,MRDN,meridian waste solutions ,3,meridian waste solutions
Merit Medical Systems ,MMSI,merit medical systems ,3,merit medical systems
Merrill Lynch & Co.   97% Protected Notes Linked to Global Equity Basket,PGEB,merrill lynch & co.   97% protected notes linked to global equity basket,12,merrill lynch &
Merrill Lynch & Co.   S&P 500 Market Index TargetTerm Securities,MTTX,merrill lynch & co.   s&p 500 market index targetterm securities,10,merrill lynch &
Merrill Lynch & Co.   Strategic Return Notes Linked to the Industrial 15 Index,SRIB,merrill lynch & co.   strategic return notes linked to the industrial 15 index,13,merrill lynch &
Merrimack Pharmaceuticals ,MACK,merrimack pharmaceuticals ,2,merrimack pharmaceuticals
Meru Networks ,MERU,meru networks ,2,meru networks
Merus Labs International  (USA),MSLI,merus labs international  (usa),4,merus labs international
Merus NV,MRUS,merus nv,2,merus nv
Mesa Laboratories ,MLAB,mesa laboratories ,2,mesa laboratories
Mesoblast limited (ADR),MESO,mesoblast limited (adr),3,mesoblast limited (adr)
Meta Financial Group ,CASH,meta financial group ,3,meta financial group
Methanex Corporation (USA),MEOH,methanex corporation (usa),3,methanex corporation (usa)
Methes Energies International ,MEILU,methes energies international ,3,methes energies international
Metro Bancorp ,METR,metro bancorp ,2,metro bancorp
MetroCorp Bancshares  (Inactive),MCBI,metrocorp bancshares  (inactive),3,metrocorp bancshares
MiMedx Group ,MDXG,mimedx group ,2,mimedx group
Michaels Companies ,MIK,michaels companies ,2,michaels companies
Micrel orporated,MCRL,micrel orporated,2,micrel orporated
MicroStrategy orporated,MSTR,microstrategy orporated,2,microstrategy orporated
Microbot Medical ,MBOT,microbot medical ,2,microbot medical
Microchip Technology ,MCHP,microchip technology ,2,microchip technology
Microfinancial ,MFI,microfinancial ,1,microfinancial
Microlin Bio ,MCLB,microlin bio ,2,microlin bio
Micron Technology ,MU,micron technology ,2,micron technology
Micronet Enertec Technologies ,MICT,micronet enertec technologies ,3,micronet enertec technologies
Microsemi Communications ,VTSS,microsemi communications ,2,microsemi communications
Microsemi Corporation,MSCC,microsemi corporation,2,microsemi corporation
Microsemi Frequency and Time Corp,SYMM,microsemi frequency and time corp,5,microsemi frequency and
Microsoft Corporation,MSFT,microsoft corporation,2,microsoft
Microvision ,MVIS,microvision ,1,microvision
Mid Penn Bancorp ,MPB,mid penn bancorp ,3,mid penn bancorp
MidCon Energy Partners LP,MCEP,midcon energy partners lp,4,midcon energy partners
MidWestOne Financial Group ,MOFG,midwestone financial group ,3,midwestone financial group
Midatech Pharma ADR,MTP,midatech pharma adr,3,midatech pharma adr
Middleburg Financial Corp.,MBRG,middleburg financial corp.,3,middleburg financial corp.
Middleby Corp,MIDD,middleby corp,2,middleby corp
Middlefield Banc Corp,MBCN,middlefield banc corp,3,middlefield banc corp
Middlesex Water Company,MSEX,middlesex water company,3,middlesex water company
Midland States Bancorp ,MSBI,midland states bancorp ,3,midland states bancorp
Mimecast ,MIME,mimecast ,1,mimecast
Mindspeed Technologies  (Inactive),MSPD,mindspeed technologies  (inactive),3,mindspeed technologies
Minerva Neurosciences ,NERV,minerva neurosciences ,2,minerva neurosciences
Miragen Therapeutics ,SGNL,miragen therapeutics ,2,miragen therapeutics
Miragen Therapeutics ,MGEN,miragen therapeutics ,2,miragen therapeutics
Mirati Therapeutics ,MRTX,mirati therapeutics ,2,mirati therapeutics
Mirna Therapeutics ,MIRN,mirna therapeutics ,2,mirna therapeutics
Misonix ,MSON,misonix ,1,misonix
Mitcham Industries ,MIND,mitcham industries ,2,mitcham industries
Mitcham Industries   Series A 9.00% Series A Cumulative Preferred Stock,MINDP,mitcham industries   series a 9.00% series a cumulative preferred stock,10,mitcham industries
Mitek Systems ,MITK,mitek systems ,2,mitek systems
Mitel Networks Corp,MITL,mitel networks corp,3,mitel networks corp
MoSys ,MOSY,mosys ,1,mosys
Mobile Mini ,MINI,mobile mini ,2,mobile mini
Mobileiron ,MOBL,mobileiron ,1,mobileiron
